# Wolf Stoercodes - Waermepumpe (HCM-5)
# Geraete: FHA-Standard, FHA-Center
#
# Ausgelesen aus der WOLF-Betriebsanleitung:
#   FHA-Standard___FHA-Center_Monoblock-Luft_Wasser-Waermepumpe_Betriebsanleitung_fuer_die_Fachkraft_10_2025.pdf
#
# Je Zeile: Nummer;Klartext. Zeilen mit Doppelkreuz werden uebersprungen.
#
12;Kesselfühler defekt
14;WW-Fühler defekt
15;T_Aussen
16;T_Rücklauf
37;BCC n. kompatibel
78;T_Sammler
100;Flow Switch ODU
101;E-Heizung
102;Netzstörung
103;Leistungselektronik
104;Ventilator
105;Hochdruck Sensor
107;Druck HK
108;Niederdruck Sensor
109;Hochdruck-Schalter
110;T_Sauggas
111;T_Heißgas
112;T_Zuluft
116;ESM
118;PCB unterbrochen
119;Abtauenergie
120;Abtauzeit
125;T_Kessel 2
126;Verdampfertemperatur
128;ODU
129;Verdichter
133;Modul nicht kompatibel
